id,name,acronym
997,root,root
8,Basic cell groups and regions,grey
567,Cerebrum,CH
688,Cerebral cortex,CTX
695,Cortical plate,CTXpl
315,Isocortex,Isocortex
184,"Frontal pole, cerebral cortex",FRP
68,"Frontal pole, layer 1",FRP1
667,"Frontal pole, layer 2/3",FRP2/3
500,Somatomotor areas,MO
107,"Somatomotor areas, Layer 1",MO1
219,"Somatomotor areas, Layer 2/3",MO2/3
299,"Somatomotor areas, Layer 5",MO5
644,"Somatomotor areas, Layer 6a",MO6a
947,"Somatomotor areas, Layer 6b",MO6b
985,Primary motor area,MOp
320,"Primary motor area, Layer 1",MOp1
943,"Primary motor area, Layer 2/3",MOp2/3
648,"Primary motor area, Layer 5",MOp5
844,"Primary motor area, Layer 6a",MOp6a
882,"Primary motor area, Layer 6b",MOp6b
993,Secondary motor area,MOs
656,"Secondary motor area, layer 1",MOs1
962,"Secondary motor area, layer 2/3",MOs2/3
767,"Secondary motor area, layer 5",MOs5
1021,"Secondary motor area, layer 6a",MOs6a
1085,"Secondary motor area, layer 6b",MOs6b
453,Somatosensory areas,SS
12993,"Somatosensory areas, layer 1",SS1
12994,"Somatosensory areas, layer 2/3",SS2/3
12995,"Somatosensory areas, layer 4",SS4
12996,"Somatosensory areas, layer 5",SS5
12997,"Somatosensory areas, layer 6a",SS6a
12998,"Somatosensory areas, layer 6b",SS6b
322,Primary somatosensory area,SSp
793,"Primary somatosensory area, layer 1",SSp1
346,"Primary somatosensory area, layer 2/3",SSp2/3
865,"Primary somatosensory area, layer 4",SSp4
921,"Primary somatosensory area, layer 5",SSp5
686,"Primary somatosensory area, layer 6a",SSp6a
719,"Primary somatosensory area, layer 6b",SSp6b
353,"Primary somatosensory area, nose",SSp-n
558,"Primary somatosensory area, nose, layer 1",SSp-n1
838,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3
654,"Primary somatosensory area, nose, layer 4",SSp-n4
702,"Primary somatosensory area, nose, layer 5",SSp-n5
889,"Primary somatosensory area, nose, layer 6a",SSp-n6a
929,"Primary somatosensory area, nose, layer 6b",SSp-n6b
329,"Primary somatosensory area, barrel field",SSp-bfd
981,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1
201,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3
1047,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4
1070,"Primary somatosensory area, barrel field, layer 5 ",SSp-bfd5
1038,"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a
1062,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b
337,"Primary somatosensory area, lower limb",SSp-ll
1030,"Primary somatosensory area, lower limb, layer 1",SSp-ll1
113,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3
1094,"Primary somatosensory area, lower limb, layer 4",SSp-ll4
1128,"Primary somatosensory area, lower limb, layer 5",SSp-ll5
478,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a
510,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b
345,"Primary somatosensory area, mouth",SSp-m
